tier,seed,disaster_family,role,metric,baseline,trained,delta,rationale_mode,schema_version
easy,789,active_threat,floor_agent,override_win_rate,0.0,nan,nan,linear_capped,2026.04.24
easy,789,active_threat,floor_agent,raw_reward,-9.45999999999999,nan,nan,linear_capped,2026.04.24
easy,789,active_threat,floor_agent,save_rate,0.6140350877192983,nan,nan,linear_capped,2026.04.24
easy,789,active_threat,orchestrator,invalid_action_rate,0.0,nan,nan,linear_capped,2026.04.24
easy,789,active_threat,orchestrator,normalized_reward,-1.5853805265245535,nan,nan,linear_capped,2026.04.24
easy,789,active_threat,orchestrator,override_win_rate,0.0,nan,nan,linear_capped,2026.04.24
easy,789,active_threat,orchestrator,raw_reward,-91.4,nan,nan,linear_capped,2026.04.24
easy,789,active_threat,orchestrator,save_rate,0.6140350877192983,nan,nan,linear_capped,2026.04.24
easy,789,fire,floor_agent,invalid_action_rate,0.0,nan,nan,linear_capped,2026.04.24
easy,789,fire,floor_agent,normalized_reward,5.6018299792956245,nan,nan,linear_capped,2026.04.24
easy,789,fire,floor_agent,override_win_rate,0.0,nan,nan,linear_capped,2026.04.24
easy,789,fire,floor_agent,raw_reward,1.3800000000000154,nan,nan,linear_capped,2026.04.24
easy,789,fire,floor_agent,save_rate,1.0,nan,nan,linear_capped,2026.04.24
easy,789,fire,orchestrator,invalid_action_rate,0.0,nan,nan,linear_capped,2026.04.24
easy,789,fire,orchestrator,normalized_reward,0.8732969414204005,nan,nan,linear_capped,2026.04.24
easy,789,fire,orchestrator,override_win_rate,0.0,nan,nan,linear_capped,2026.04.24
easy,789,fire,orchestrator,raw_reward,-72.50000000000004,nan,nan,linear_capped,2026.04.24
easy,789,fire,orchestrator,save_rate,1.0,nan,nan,linear_capped,2026.04.24
easy,789,flood,floor_agent,invalid_action_rate,0.0,nan,nan,linear_capped,2026.04.24
easy,789,flood,floor_agent,normalized_reward,1.1491541171612978,nan,nan,linear_capped,2026.04.24
easy,789,flood,floor_agent,override_win_rate,0.0,nan,nan,linear_capped,2026.04.24
easy,789,flood,floor_agent,raw_reward,-5.619999999999999,nan,nan,linear_capped,2026.04.24
easy,789,flood,floor_agent,save_rate,0.08771929824561403,nan,nan,linear_capped,2026.04.24
easy,789,flood,orchestrator,invalid_action_rate,0.0,nan,nan,linear_capped,2026.04.24
easy,789,flood,orchestrator,normalized_reward,1.417471108468654,nan,nan,linear_capped,2026.04.24
easy,789,flood,orchestrator,override_win_rate,0.0,nan,nan,linear_capped,2026.04.24
easy,789,flood,orchestrator,raw_reward,-32.400000000000006,nan,nan,linear_capped,2026.04.24
easy,789,flood,orchestrator,save_rate,0.08771929824561403,nan,nan,linear_capped,2026.04.24
easy,789,gas,floor_agent,invalid_action_rate,0.0,nan,nan,linear_capped,2026.04.24
easy,789,gas,floor_agent,normalized_reward,-5.104658536342489,nan,nan,linear_capped,2026.04.24
easy,789,gas,floor_agent,override_win_rate,0.0,nan,nan,linear_capped,2026.04.24
easy,789,gas,floor_agent,raw_reward,-13.599999999999994,nan,nan,linear_capped,2026.04.24
easy,789,gas,floor_agent,save_rate,0.19298245614035087,nan,nan,linear_capped,2026.04.24
easy,789,gas,orchestrator,invalid_action_rate,0.0,nan,nan,linear_capped,2026.04.24
easy,789,gas,orchestrator,normalized_reward,-7.2453800644665876,nan,nan,linear_capped,2026.04.24
easy,789,gas,orchestrator,override_win_rate,0.0,nan,nan,linear_capped,2026.04.24
easy,789,gas,orchestrator,raw_reward,-58.0,nan,nan,linear_capped,2026.04.24
easy,789,gas,orchestrator,save_rate,0.19298245614035087,nan,nan,linear_capped,2026.04.24
easy,789,multi_cascade,floor_agent,invalid_action_rate,0.0,nan,nan,linear_capped,2026.04.24
easy,789,multi_cascade,floor_agent,normalized_reward,-202.834516165894,nan,nan,linear_capped,2026.04.24
easy,789,multi_cascade,floor_agent,override_win_rate,0.0,nan,nan,linear_capped,2026.04.24
easy,789,multi_cascade,floor_agent,raw_reward,-305.360000000001,nan,nan,linear_capped,2026.04.24
easy,789,multi_cascade,floor_agent,save_rate,1.7719298245614035,nan,nan,linear_capped,2026.04.24
easy,789,multi_cascade,orchestrator,invalid_action_rate,0.0,nan,nan,linear_capped,2026.04.24
easy,789,multi_cascade,orchestrator,normalized_reward,-264.1890243842272,nan,nan,linear_capped,2026.04.24
easy,789,multi_cascade,orchestrator,override_win_rate,0.0,nan,nan,linear_capped,2026.04.24
easy,789,multi_cascade,orchestrator,raw_reward,-980.2999999999918,nan,nan,linear_capped,2026.04.24
easy,789,multi_cascade,orchestrator,save_rate,1.7719298245614035,nan,nan,linear_capped,2026.04.24
easy,789,structural,floor_agent,invalid_action_rate,0.0,nan,nan,linear_capped,2026.04.24
easy,789,structural,floor_agent,normalized_reward,19.81103301748914,nan,nan,linear_capped,2026.04.24
easy,789,structural,floor_agent,override_win_rate,0.0,nan,nan,linear_capped,2026.04.24
easy,789,structural,floor_agent,raw_reward,21.32,nan,nan,linear_capped,2026.04.24
easy,789,structural,floor_agent,save_rate,0.8596491228070176,nan,nan,linear_capped,2026.04.24
easy,789,structural,orchestrator,invalid_action_rate,0.0,nan,nan,linear_capped,2026.04.24
easy,789,structural,orchestrator,normalized_reward,21.988037430342082,nan,nan,linear_capped,2026.04.24
easy,789,structural,orchestrator,override_win_rate,0.0,nan,nan,linear_capped,2026.04.24
easy,789,structural,orchestrator,raw_reward,28.9,nan,nan,linear_capped,2026.04.24
easy,789,structural,orchestrator,save_rate,0.8596491228070176,nan,nan,linear_capped,2026.04.24
easy,1024,active_threat,floor_agent,invalid_action_rate,0.0,nan,nan,linear_capped,2026.04.24
easy,1024,active_threat,floor_agent,normalized_reward,-3.3882375735630648,nan,nan,linear_capped,2026.04.24
easy,1024,active_threat,floor_agent,override_win_rate,0.0,nan,nan,linear_capped,2026.04.24
easy,1024,active_threat,floor_agent,raw_reward,-16.659999999999986,nan,nan,linear_capped,2026.04.24
easy,1024,active_threat,floor_agent,save_rate,0.5797101449275363,nan,nan,linear_capped,2026.04.24
easy,1024,active_threat,orchestrator,invalid_action_rate,0.0,nan,nan,linear_capped,2026.04.24
easy,1024,active_threat,orchestrator,normalized_reward,-4.4788572690301445,nan,nan,linear_capped,2026.04.24
easy,1024,active_threat,orchestrator,override_win_rate,0.0,nan,nan,linear_capped,2026.04.24
easy,1024,active_threat,orchestrator,raw_reward,-131.00000000000003,nan,nan,linear_capped,2026.04.24
easy,1024,active_threat,orchestrator,save_rate,0.5797101449275363,nan,nan,linear_capped,2026.04.24
easy,1024,fire,floor_agent,invalid_action_rate,0.0,nan,nan,linear_capped,2026.04.24
easy,1024,fire,floor_agent,normalized_reward,5.618982972160211,nan,nan,linear_capped,2026.04.24
